# time	left pressure 1[N/cm²]	left pressure 2[N/cm²]	left pressure 3[N/cm²]	left pressure 4[N/cm²]	left pressure 5[N/cm²]	left pressure 6[N/cm²]	left pressure 7[N/cm²]	left pressure 8[N/cm²]	left pressure 9[N/cm²]	left pressure 10[N/cm²]	left pressure 11[N/cm²]	left pressure 12[N/cm²]	left pressure 13[N/cm²]	left pressure 14[N/cm²]	left pressure 15[N/cm²]	left pressure 16[N/cm²]	left acceleration X[g]	left acceleration Y[g]	left acceleration Z[g]	left angular X[dps]	left angular Y[dps]	left angular Z[dps]	left total force[N]	left center of pressure X[-0.5...+0.5]	left center of pressure Y[-0.5...+0.5]	right pressure 1[N/cm²]	right pressure 2[N/cm²]	right pressure 3[N/cm²]	right pressure 4[N/cm²]	right pressure 5[N/cm²]	right pressure 6[N/cm²]	right pressure 7[N/cm²]	right pressure 8[N/cm²]	right pressure 9[N/cm²]	right pressure 10[N/cm²]	right pressure 11[N/cm²]	right pressure 12[N/cm²]	right pressure 13[N/cm²]	right pressure 14[N/cm²]	right pressure 15[N/cm²]	right pressure 16[N/cm²]	right acceleration X[g]	right acceleration Y[g]	right acceleration Z[g]	right angular X[dps]	right angular Y[dps]	right angular Z[dps]	right total force[N]	right center of pressure X[-0.5...+0.5]	right center of pressure Y[-0.5...+0.5]
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2.10	3.00	2.00	2.75	3.25	2.00	1.75	1.00	2.25	5.25	6.00	7.75	6.50	5.75	9.25	0.50	2.50	-0.246094	0.086914	0.950195	-1.960000	5.180000	-1.330000	581.00	0.110124	-0.061688	8.00	8.75	3.25	5.75	2.00	3.50	0.25	1.50	0.75	1.75	2.75	1.25	1.25	2.00	0.50	1.50	-0.210449	0.068848	0.966797	-1.680000	-4.060000	0.420000	421.00	-0.158620	-0.088425		
2.20	2.50	1.25	3.25	2.25	2.00	1.50	1.00	2.50	5.00	6.00	7.75	6.50	5.50	10.50	0.50	2.50	-0.245117	0.083008	0.955078	-2.030000	5.390000	-1.400000	571.00	0.128433	-0.055090	8.00	8.50	4.00	5.75	2.25	3.50	0.25	1.50	2.00	1.75	2.75	1.50	1.25	1.50	0.75	1.50	-0.210449	0.063477	0.972168	-1.750000	-3.290000	0.490000	445.00	-0.145059	-0.075391		
2.30	1.00	1.50	2.50	2.75	2.00	1.75	1.00	2.50	5.25	6.50	7.50	6.50	5.75	10.75	0.25	3.25	-0.252441	0.088379	0.956055	-2.240000	4.060000	-1.120000	569.00	0.142743	-0.063211	7.75	8.00	3.50	5.75	1.75	3.00	0.00	1.50	1.75	1.50	2.75	1.50	1.00	2.00	0.75	1.50	-0.210449	0.071777	0.962402	-2.170000	-4.060000	0.420000	417.00	-0.142774	-0.078575		
2.40	3.00	1.75	3.25	2.75	2.25	1.75	1.25	2.25	5.25	6.50	7.75	6.25	5.50	9.50	0.25	2.75	-0.244629	0.083008	0.958008	-2.380000	3.430000	-1.190000	586.00	0.111730	-0.052578	7.25	7.50	3.50	5.75	1.25	3.25	0.00	1.50	1.00	1.75	2.75	1.75	1.00	2.00	0.75	1.25	-0.203613	0.070312	0.958008	-1.400000	-3.360000	0.490000	400.00	-0.143219	-0.090490		
2.50	2.50	2.25	2.75	2.50	2.25	1.75	1.25	2.25	5.25	6.00	7.00	5.75	5.25	9.75	0.75	1.75	-0.247559	0.073730	0.954102	-2.030000	4.130000	-1.120000	561.00	0.115133	-0.049074	7.50	7.75	3.00	5.50	2.25	4.75	0.00	1.75	1.00	1.75	3.00	1.50	1.00	1.75	0.25	1.50	-0.210938	0.070801	0.959961	-0.980000	-3.360000	0.700000	420.00	-0.149854	-0.097452		
2.60	3.00	2.00	3.50	3.50	2.25	1.25	1.00	2.25	5.25	6.00	6.75	5.50	4.50	10.00	0.00	2.00	-0.241211	0.084961	0.958984	-2.380000	4.900000	-1.470000	558.00	0.099212	-0.041976	7.75	7.75	4.50	6.00	1.50	4.25	0.25	2.25	1.75	1.50	3.25	1.75	1.25	1.75	0.50	1.50	-0.214355	0.060059	0.959961	-0.770000	-3.360000	0.560000	456.00	-0.138915	-0.090288		
2.70	3.50	2.50	4.25	2.50	2.25	1.50	1.25	1.50	5.25	6.00	6.25	5.00	5.00	10.25	0.00	2.25	-0.245605	0.082031	0.957031	-2.520000	5.880000	-1.750000	558.00	0.094008	-0.029260	7.50	8.25	3.50	6.25	2.25	5.00	0.25	2.75	1.50	1.50	3.50	2.25	1.50	2.75	0.75	1.50	-0.217773	0.072754	0.970703	-0.210000	-3.150000	0.700000	489.00	-0.120761	-0.102671		
2.80	1.50	1.00	3.25	1.75	2.00	0.25	1.00	1.25	5.50	6.25	6.25	4.50	3.25	12.25	0.50	1.50	-0.245117	0.075684	0.957031	-3.010000	6.720000	-1.960000	490.00	0.157628	0.001330	7.75	8.50	3.75	6.25	2.00	5.50	0.25	2.75	1.75	1.75	3.25	2.00	1.75	2.00	0.50	1.75	-0.211914	0.072266	0.961426	-0.350000	-3.570000	0.910000	494.00	-0.130208	-0.104799		
2.90	0.00	0.00	0.00	0.00	0.50	0.00	0.25	0.00	5.00	5.25	4.50	3.00	1.75	9.00	0.25	1.50	-0.258301	0.077148	0.971191	-2.450000	14.000000	-3.570000	285.00	0.273503	0.037612	9.50	10.50	5.25	9.25	4.00	7.50	0.50	5.25	2.25	2.00	3.75	3.25	3.25	2.50	1.00	2.50	-0.211426	0.080566	0.959961	2.660000	-4.900000	2.800000	700.00	-0.119546	-0.119695		
3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	-0.290527	0.073730	1.115234	-25.129999	59.220001	-4.620000	2.00	0.000000	0.000000	11.25	12.25	6.25	10.50	5.50	9.50	0.75	6.25	2.25	2.50	5.00	3.25	3.75	3.25	1.50	2.75	-0.205078	0.081055	0.965820	-1.820000	-5.390000	2.170000	839.00	-0.117117	-0.116945		
3.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.694336	0.715332	0.880371	-26.389999	-15.540000	214.899994	0.00	0.000000	0.000000	10.50	11.25	6.25	10.00	5.50	9.00	1.00	6.00	3.50	2.50	4.50	3.25	4.25	3.75	1.00	2.50	-0.204590	0.077637	0.964355	-3.150000	-3.780000	0.840000	826.00	-0.105086	-0.107209		
